order,line,lon,lat,type
1,1,-118.632779,32.10232,adaptive
2,1,-117.279304,32.776858,adaptive
3,3,-118.728405,32.445871,adaptive
4,3,-117.364916,33.125822,adaptive
5,5,-119.004127,32.690124,adaptive
6,5,-117.624851,33.368754,adaptive
7,7,-119.35337,32.897048,adaptive
8,7,-117.953677,33.592978,adaptive
9,9,-119.795738,33.052352,adaptive
10,9,-118.425557,33.737995,adaptive
11,11,-120.062163,33.328457,adaptive
12,11,-118.687095,34.009768,adaptive
13,13,-120.657705,33.428016,adaptive
14,13,-119.27723,34.107062,adaptive
15,15,-120.872023,33.708675,adaptive
16,15,-119.557537,34.35266,adaptive
17,17,-121.13247,33.981875,adaptive
18,17,-120.151997,34.457675,adaptive
19,19,-121.296179,34.272726,adaptive
20,19,-120.681828,34.575869,adaptive
21,21,-121.51942,34.541016,adaptive
22,21,-120.708415,34.927509,adaptive
23,23,-121.805911,34.808437,adaptive
24,23,-120.905666,35.228812,adaptive
25,25,-121.843118,35.16975,adaptive
26,25,-121.098463,35.515617,adaptive
27,27,-122.036592,35.465555,adaptive
28,27,-121.354421,35.778379,adaptive
29,29,-122.241229,35.748134,adaptive
30,29,-121.603438,36.043158,adaptive
31,31,-122.535162,35.99343,adaptive
32,31,-121.9028,36.283725,adaptive
33,33,-122.628179,36.32833,adaptive
34,33,-121.988305,36.622311,adaptive
35,35,-122.7793,36.647481,adaptive
36,35,-122.146628,36.945604,adaptive
37,37,-123.077465,36.894622,adaptive
38,37,-122.439743,37.191955,adaptive
39,39,-123.261183,37.193985,adaptive
40,39,-122.551596,37.523347,adaptive
41,41,-123.67054,37.391084,adaptive
42,41,-122.747807,37.814525,adaptive
43,43,-123.667527,37.77713,adaptive
44,43,-123.019164,38.071166,adaptive
45,45,-123.794075,38.096894,adaptive
46,45,-123.132836,38.386896,adaptive
47,47,-124.086957,38.360994,adaptive
48,47,-123.423907,38.649963,adaptive
49,49,-124.384016,38.611696,adaptive
50,49,-123.727937,38.894492,adaptive
51,51,-124.452155,38.959617,adaptive
52,51,-123.803458,39.242261,adaptive
53,53,-124.42117,39.353189,adaptive
54,53,-123.814171,39.611455,adaptive
55,55,-124.670441,39.618355,adaptive
56,55,-123.985685,39.90633,adaptive
57,57,-124.996218,39.862672,adaptive
58,57,-124.278689,40.160837,adaptive
59,59,-125.289753,40.119012,adaptive
60,59,-124.494103,40.437776,adaptive
61,61,-125.173556,40.597243,adaptive
62,61,-124.443617,40.595544,adaptive
63,63,-125.039197,40.898466,adaptive
64,63,-124.246996,40.898624,adaptive
65,65,-125.00563,41.235914,adaptive
66,65,-124.183265,41.238898,adaptive
67,67,-125.080535,41.587685,adaptive
68,67,-124.188222,41.585365,adaptive
69,69,-125.146753,41.912718,adaptive
70,69,-124.353853,41.91421,adaptive
71,71,-125.225,42.26083,adaptive
72,71,-124.444,42.2608,adaptive
73,73,-125.218,42.59417,adaptive
74,73,-124.441,42.5942,adaptive
75,75,-125.325,42.9275,adaptive
76,75,-124.537,42.9275,adaptive
77,77,-125.219,43.26083,adaptive
78,77,-124.431,43.2608,adaptive
79,79,-125.24,43.59848,adaptive
80,79,-124.25,43.5985,adaptive
81,81,-125.223,43.9275,adaptive
82,81,-124.19,43.9275,adaptive
83,83,-125.2896,44.247408,adaptive
84,83,-124.15,44.2474,adaptive
85,85,-125.212,44.59417,adaptive
86,85,-124.12,44.5942,adaptive
87,104,-126.288,47.76441,adaptive
88,104,-124.652,47.759,adaptive
89,106,-126.371,48.09333,adaptive
90,106,-124.82,48.0933,adaptive
91,108,-126.688,48.42226,adaptive
92,108,-124.9,48.4223,adaptive
93,110,-125.593241,48.447181,adaptive
94,110,-125.19206,48.754975,adaptive
95,112,-126.273419,48.446586,adaptive
96,112,-125.635184,48.951625,adaptive
97,114,-126.819475,48.544724,adaptive
98,114,-126.047588,49.13991,adaptive
99,116,-127.066425,48.864133,adaptive
100,116,-126.480266,49.321844,adaptive
101,118,-127.445224,49.095101,adaptive
102,118,-126.844053,49.561402,adaptive
103,120,-127.783255,49.355915,adaptive
104,120,-127.218752,49.799233,adaptive
105,122,-128.176884,49.585089,adaptive
106,122,-127.589185,50.032551,adaptive
107,124,-128.594983,49.789131,adaptive
108,124,-128.017197,50.231539,adaptive
109,126,-128.920582,50.063818,adaptive
110,126,-128.310084,50.577861,adaptive
111,2,-118.686985,32.279897,compulsory
112,2,-117.293732,32.963698,compulsory
113,4,-118.862684,32.571836,compulsory
114,4,-117.491137,33.248293,compulsory
115,6,-119.140641,32.81484,compulsory
116,6,-117.751817,33.490526,compulsory
117,8,-119.603254,32.961396,compulsory
118,8,-118.228911,33.64138,compulsory
119,10,-119.845509,33.225169,compulsory
120,10,-118.471523,33.900096,compulsory
121,12,-120.388743,33.366699,compulsory
122,12,-119.010081,34.048125,compulsory
123,14,-120.772144,33.558965,compulsory
124,14,-119.417696,34.223081,compulsory
125,16,-120.812287,33.955515,compulsory
126,16,-119.831229,34.394173,compulsory
127,18,-121.122246,34.163209,compulsory
128,18,-120.500003,34.461118,compulsory
129,20,-121.297569,34.459901,compulsory
130,20,-120.668243,34.761007,compulsory
131,22,-121.696984,34.658987,compulsory
132,22,-120.729289,35.115257,compulsory
133,24,-121.742266,35.017399,compulsory
134,24,-120.947085,35.407432,compulsory
135,26,-121.886424,35.345054,compulsory
136,26,-121.258974,35.641319,compulsory
137,28,-122.124055,35.609707,compulsory
138,28,-121.494391,35.909364,compulsory
139,30,-122.353342,35.887552,compulsory
140,30,-121.721616,36.183935,compulsory
141,32,-122.583857,36.161232,compulsory
142,32,-121.943672,36.460108,compulsory
143,34,-122.527975,36.5618,compulsory
144,34,-121.883688,36.866078,compulsory
145,36,-122.942589,36.767939,compulsory
146,36,-122.294841,37.058358,compulsory
147,38,-123.123365,37.073171,compulsory
148,38,-122.481064,37.373328,compulsory
149,40,-123.391818,37.330092,compulsory
150,40,-122.672091,37.660431,compulsory
151,42,-123.685862,37.578827,compulsory
152,42,-122.842672,37.968698,compulsory
153,44,-123.68285,37.961347,compulsory
154,44,-123.031946,38.256559,compulsory
155,46,-123.938766,38.231275,compulsory
156,46,-123.287862,38.520499,compulsory
157,48,-124.238425,38.486635,compulsory
158,48,-123.590715,38.78142,compulsory
159,50,-124.390807,38.805919,compulsory
160,50,-123.736681,39.09774,compulsory
161,52,-124.493251,39.135353,compulsory
162,52,-123.8383,39.430389,compulsory
163,54,-124.509142,39.513921,compulsory
164,54,-123.876666,39.796896,compulsory
165,56,-124.898123,39.722833,compulsory
166,56,-124.126117,40.064706,compulsory
167,58,-125.169623,39.980781,compulsory
168,58,-124.390855,40.307123,compulsory
169,60,-125.277368,40.428082,compulsory
170,60,-124.500877,40.441203,compulsory
171,62,-125.112957,40.759447,compulsory
172,62,-124.351631,40.759447,compulsory
173,64,-125.027405,41.06675,compulsory
174,64,-124.229537,41.06675,compulsory
175,66,-125.030941,41.412023,compulsory
176,66,-124.175567,41.411149,compulsory
177,68,-125.123348,41.729871,compulsory
178,68,-124.257252,41.728918,compulsory
179,70,-125.146,42.09417,compulsory
180,70,-124.368929,42.092835,compulsory
181,72,-125.28,42.4275,compulsory
182,72,-124.495,42.4275,compulsory
183,74,-125.35,42.76083,compulsory
184,74,-124.567,42.7608,compulsory
185,76,-125.259,43.09417,compulsory
186,76,-124.46,43.09417,compulsory
187,78,-125.243,43.42575,compulsory
188,78,-124.34,43.4258,compulsory
189,80,-125.286,43.76187,compulsory
190,80,-124.22,43.7619,compulsory
191,82,-125.204,44.0902,compulsory
192,82,-124.17,44.0901,compulsory
193,84,-125.24,44.4275,compulsory
194,84,-124.13,44.4275,compulsory
195,86,-125.299,44.76012,compulsory
196,86,-124.11,44.7601,compulsory
197,87,-125.266,44.92281,compulsory
198,87,-124.075,44.9276,compulsory
199,88,-125.282,45.09029,compulsory
200,88,-124.04,45.0903,compulsory
201,89,-125.258,45.25299,compulsory
202,89,-124.02,45.2578,compulsory
203,90,-125.215,45.41569,compulsory
204,90,-124.01,45.4205,compulsory
205,91,-125.249,45.58795,compulsory
206,91,-123.99,45.5879,compulsory
207,92,-125.215,45.75821,compulsory
208,92,-124.005,45.7582,compulsory
209,93,-125.353,45.92567,compulsory
210,93,-124.02,45.9257,compulsory
211,94,-125.446,46.08743,compulsory
212,94,-124.04,46.0874,compulsory
213,95,-125.349,46.25459,compulsory
214,95,-124.186,46.2546,compulsory
215,96,-125.15,46.4218,compulsory
216,96,-124.202,46.4218,compulsory
217,97,-125.241,46.58891,compulsory
218,97,-124.189,46.5835,compulsory
219,98,-125.338,46.75067,compulsory
220,98,-124.194,46.7507,compulsory
221,99,-125.302,46.91783,compulsory
222,99,-124.28,46.9232,compulsory
223,100,-125.885,47.09577,compulsory
224,100,-124.333,47.0958,compulsory
225,101,-125.968,47.25754,compulsory
226,101,-124.395,47.2575,compulsory
227,102,-126.141,47.4247,compulsory
228,102,-124.509,47.4247,compulsory
229,103,-126.173,47.59186,compulsory
230,103,-124.559,47.5919,compulsory
231,105,-126.36,47.92617,compulsory
232,105,-124.763,47.9262,compulsory
233,107,-126.333,48.26083,compulsory
234,107,-124.824,48.2608,compulsory
235,109,-125.258522,48.448372,compulsory
236,109,-124.974384,48.668662,compulsory
237,111,-125.914536,48.447181,compulsory
238,111,-125.440105,48.832449,compulsory
239,113,-126.609896,48.445371,compulsory
240,113,-125.879865,49.00602,compulsory
241,115,-126.981787,48.672692,compulsory
242,115,-126.269415,49.225031,compulsory
243,117,-127.188316,49.037877,compulsory
244,117,-126.712678,49.40553,compulsory
245,119,-127.635649,49.211072,compulsory
246,119,-126.980721,49.72005,compulsory
247,121,-127.977085,49.467073,compulsory
248,121,-127.373434,49.939217,compulsory
249,123,-128.461784,49.625966,compulsory
250,123,-127.880885,50.082869,compulsory
251,125,-128.702283,49.975612,compulsory
252,125,-128.113985,50.462275,compulsory
253,127,-129.035649,50.238687,compulsory
254,127,-128.452073,50.723036,compulsory
